,gkz,ort,lat,lon
932,08436039,Grünkraut,47.74100112915039,9.654680252075195
933,08436049,Isny im Allgäu,47.69171905517578,10.039090156555176
934,08436052,Kißlegg,47.78773880004883,9.88306999206543
935,08436055,Leutkirch im Allgäu,47.82695007324219,10.021570205688477
936,08436064,Ravensburg,47.781978607177734,9.614620208740234
937,08436078,Vogt,47.775360107421875,9.767840385437012
938,08436081,Wangen im Allgäu,47.68806838989258,9.833450317382812
939,08436082,Weingarten,49.053321838378906,8.531140327453613
940,08436083,Wilhelmsdorf,47.8671989440918,9.424989700317383
941,08436085,Wolfegg,47.81903076171875,9.792460441589355
942,08436087,Wolpertswende,47.894981384277344,9.612839698791504
943,08436094,Argenbühl,47.68790054321289,9.957900047302246
944,08436095,Horgenzell,47.806278228759766,9.498600006103516
945,08436096,Fronreute,47.86214065551758,9.590359687805176
946,08437008,Bingen,48.10987854003906,9.272939682006836
947,08437031,Gammertingen,48.249271392822266,9.214810371398926
948,08437044,Herbertingen,48.06153869628906,9.438380241394043
949,08437059,Inzigkofen,48.070491790771484,9.178279876708984
950,08437065,Krauchenwies,48.01847839355469,9.249990463256836
951,08437076,Mengen,48.04726028442383,9.327119827270508
952,08437078,Meßkirch,47.994850158691406,9.11536979675293
953,08437086,Ostrach,47.95288848876953,9.379989624023438
954,08437088,Pfullendorf,47.92628860473633,9.254949569702148
955,08437100,Bad Saulgau,48.014991760253906,9.500749588012695
956,08437104,Sigmaringen,48.08607864379883,9.21796989440918
957,08437105,Sigmaringendorf,48.06563186645508,9.263440132141113
958,08437107,Stetten am kalten Markt,48.12086868286133,9.078200340270996
1113,08111000,Stuttgart,48.76776123046875,9.171990394592285
2121,08235066,Simmersfeld,48.621070861816406,8.518239974975586
8012,08337022,Bonndorf im Schwarzwald,47.819801330566406,8.34216022491455
8128,08125047,Ittlingen,49.19221878051758,8.936909675598145
8145,08125084,Roigheim,49.36470031738281,9.338370323181152
8147,08125087,Siegelsbach,49.272789001464844,9.08938980102539
8159,08126020,Dörzbach,49.38344955444336,9.707010269165039
8191,08128064,Külsheim,49.669471740722656,9.523599624633789
8194,08128128,Werbach,49.670291900634766,9.638710021972656
8218,08225010,Binau,49.366580963134766,9.057700157165527
8227,08225064,Neckargerach,49.40100860595703,9.070799827575684
8228,08225067,Neckarzimmern,49.3183708190918,9.132590293884277
8229,08225068,Neunkirchen,49.387901306152344,9.00885009765625
8237,08225116,Schwarzach,49.3731803894043,8.983019828796387
8239,08225118,Waldbrunn,49.46432876586914,9.07843017578125
8244,08226017,Epfenbach,49.33726119995117,8.911020278930664
8248,08226048,Mauer,49.341270446777344,8.797670364379883
8249,08226049,Meckesheim,49.32196044921875,8.816089630126953
8256,08226081,Schönbrunn,49.41236114501953,8.928759574890137
8262,08226101,Zuzenhausen,49.29777908325195,8.821760177612305
8484,08226058,Neidenstein,49.31642150878906,8.884860038757324
8642,08215094,Zaisenhausen,49.10757827758789,8.817350387573242
9178,08226066,Reichartshausen,49.35544967651367,8.945090293884277
9655,08128006,Assamstadt,49.4268913269043,9.687379837036133
9707,08127047,Langenburg,49.25334930419922,9.849029541015625
9731,08128058,Igersheim,49.49633026123047,9.8154296875
9796,08127012,Bühlertann,49.04087829589844,9.909119606018066
9814,08127091,Wallhausen,49.21171951293945,10.062990188598633
9815,08127099,Wolpertshausen,49.168128967285156,9.848270416259766
10057,08128045,Großrinderfeld,49.665679931640625,9.734330177307129
10145,08127101,Kreßberg,49.13090133666992,10.186059951782227
10218,08127102,Fichtenau,49.070770263671875,10.207779884338379
10220,08127104,Stimpfach,49.06184005737305,10.09119987487793
10237,08136068,Stödtlen,49.001319885253906,10.299320220947266
10240,08136084,Wört,49.03084945678711,10.27338981628418
10448,08136003,Adelmannsfelden,48.95323944091797,10.003549575805664
10773,08128047,Grünsfeld,49.606689453125,9.746569633483887
10782,08128137,Wittighausen,49.61349105834961,9.838800430297852
10789,08225039,Höpfingen,49.601810455322266,9.42743968963623
10936,08128039,Freudenberg,49.75144958496094,9.325329780578613
11181,08135021,Hermaringen,48.596168518066406,10.257789611816406
11193,08425130,Weidenstetten,48.550140380859375,9.995349884033203
11216,08425013,Ballendorf,48.55284881591797,10.076499938964844
11284,08136087,Riesbürg,48.84994888305664,10.434120178222656
11298,08425092,Öllingen,48.52845001220703,10.147640228271484
11352,08425011,Asselfingen,48.529571533203125,10.18822956085205
11474,08136049,Obergröningen,48.89448928833008,9.909390449523926
11511,08136037,Kirchheim am Ries,48.87797164916992,10.399789810180664
11517,08136071,Tannhausen,48.97901916503906,10.357549667358398
12333,08216012,Elchesheim-Illingen,48.93489074707031,8.209219932556152
12337,08216022,Hügelsheim,48.796539306640625,8.109040260314941
12340,08216028,Lichtenau,48.72636032104492,8.006939888000488
12341,08216029,Loffenau,48.77460861206055,8.394949913024902
12348,08216059,Weisenbach,48.72829818725586,8.35396957397461
12364,08317056,Kappelrodeck,48.59086990356445,8.117850303649902
12367,08317068,Lauf,48.65317153930664,8.126480102539062
12370,08317102,Ottenhöfen im Schwarzwald,48.56800842285156,8.15977954864502
12372,08317116,Sasbach,48.638999938964844,8.09181022644043
12373,08317118,Sasbachwalden,48.6203498840332,8.122010231018066
12761,08226040,Laudenbach,49.61225128173828,8.654179573059082
12763,08226046,Malsch,48.880470275878906,8.334500312805176
12774,08226080,Schönau,49.43716049194336,8.809900283813477
12793,08235018,Dobel,48.797359466552734,8.494500160217285
12841,08315013,Bötzingen,48.077430725097656,7.725930213928223
12844,08315059,Ihringen,48.04574966430664,7.6454901695251465
12848,08315076,Neuenburg am Rhein,47.81393814086914,7.5601701736450195
12851,08315115,Umkirch,48.03205108642578,7.761899948120117
12858,08316043,Teningen,48.12902069091797,7.803229808807373
12862,08317021,Durbach,48.49406051635742,8.017760276794434
12873,08317097,Ohlsbach,48.43199157714844,7.99275016784668
12874,08317098,Oppenau,48.473388671875,8.164389610290527
12875,08317100,Ortenberg,48.45191955566406,7.970479965209961
12881,08317146,Zell am Harmersbach,48.34720993041992,8.066229820251465
12884,08317152,Kappel-Grafenhausen,48.29233169555664,7.741819858551025
12894,08336084,Steinen,47.644508361816406,7.739140033721924
12896,08336105,Grenzach-Wyhlen,47.549869537353516,7.6910600662231445
12897,08337038,Görwihl,47.642311096191406,8.077980041503906
12910,08435020,Heiligenberg,47.82014083862305,9.312190055847168
13140,08226097,Wiesenbach,49.36103057861328,8.803540229797363
14221,08317040,Haslach im Kinzigtal,48.28007888793945,8.083539962768555
14226,08317067,Lautenbach,48.520729064941406,8.114839553833008
14237,08317126,Seebach,48.576900482177734,8.173819541931152
14884,08225113,Zwingenberg,49.41289138793945,9.044329643249512
14898,08226022,Gaiberg,49.36616897583008,8.750340461730957
